wavenumber         DET0         DET1
      -5.6     0.109394     0.141751
      -5.5     0.102654     0.132853
      -5.4     0.096532     0.124451
      -5.3     0.091522     0.117226
      -5.2     0.087356     0.110818
      -5.1     0.083972     0.105066
      -5.0     0.081707     0.100504
      -4.9     0.080518     0.096992
      -4.8     0.080526     0.094842
      -4.7     0.081681     0.093910
      -4.6     0.084209     0.094345
      -4.5     0.088012     0.096225
      -4.4     0.093326     0.099713
      -4.3     0.099767     0.104576
      -4.2     0.107569     0.110970
      -4.1     0.117288     0.119416
      -4.0     0.128269     0.129376
      -3.9     0.141071     0.141371
      -3.8     0.154719     0.154496
      -3.7     0.169768     0.169266
      -3.6     0.187106     0.186588
      -3.5     0.205473     0.205215
      -3.4     0.225745     0.226043
      -3.3     0.246356     0.247455
      -3.2     0.268184     0.270345
      -3.1     0.292394     0.295952
      -3.0     0.317167     0.322350
      -2.9     0.343647     0.350754
      -2.8     0.369774     0.378940
      -2.7     0.396701     0.408130
      -2.6     0.425767     0.439779
      -2.5     0.454740     0.471446
      -2.4     0.484934     0.504554
      -2.3     0.513993     0.536504
      -2.2     0.543243     0.568735
      -2.1     0.574054     0.602747
      -2.0     0.604023     0.635875
      -1.9     0.634488     0.669586
      -1.8     0.663078     0.701241
      -1.7     0.691150     0.732331
      -1.6     0.719938     0.764213
      -1.5     0.747165     0.794356
      -1.4     0.774039     0.824090
      -1.3     0.798479     0.851105
      -1.2     0.821711     0.876759
      -1.1     0.844679     0.902085
      -1.0     0.865539     0.925051
      -0.9     0.885215     0.946676
      -0.8     0.902206     0.965314
      -0.7     0.917455     0.982008
      -0.6     0.931490     0.997341
      -0.5     0.943164     1.010065
      -0.4     0.952999     1.020761
      -0.3     0.960286     1.028667
      -0.2     0.965561     1.034377
      -0.1     0.968883     1.037967
       0.0     0.969954     1.039123
       0.1     0.968885     1.037979
       0.2     0.965604     1.034468
       0.3     0.960448     1.028959
       0.4     0.953390     1.021434
       0.5     0.943955     1.011393
       0.6     0.932863     0.999613
       0.7     0.919656     0.985610
       0.8     0.905446     0.970567
       0.9     0.889761     0.953986
       1.0     0.871776     0.934997
       1.1     0.852899     0.915085
       1.2     0.832323     0.893399
       1.3     0.811720     0.871695
       1.4     0.790257     0.849091
       1.5     0.766897     0.824490
       1.6     0.743470     0.799813
       1.7     0.718952     0.773972
       1.8     0.695282     0.749006
       1.9     0.671404     0.723796
       2.0     0.646203     0.697154
       2.1     0.621644     0.671150
       2.2     0.596616     0.644605
       2.3     0.573052     0.619563
       2.4     0.549811     0.594815
       2.5     0.525823     0.569215
       2.6     0.502932     0.544730
       2.7     0.480063     0.520213
       2.8     0.458933     0.497510
       2.9     0.438445     0.475452
       3.0     0.417648     0.453020
       3.1     0.398112     0.431916
       3.2     0.378881     0.411116
       3.3     0.361353     0.392148
       3.4     0.344562     0.373978
       3.5     0.327717     0.355763
       3.6     0.312059     0.338862
       3.7     0.296793     0.322427
       3.8     0.282998     0.307633
       3.9     0.269881     0.293633
       4.0     0.256810     0.279769
       4.1     0.244734     0.267059
       4.2     0.233022     0.254844
       4.3     0.222491     0.243975
       4.4     0.212519     0.233801
       4.5     0.202624     0.223839
       4.6     0.193523     0.214808
       4.7     0.184737     0.206225
       4.8     0.176877     0.198675
       4.9     0.169479     0.191684
       5.0     0.162190     0.184920
       5.1     0.155543     0.178861
       5.2     0.149193     0.173175
       5.3     0.143582     0.168236
       5.4     0.138373     0.163723
       5.5     0.133331     0.159417
       5.6     0.128825     0.155615
       5.7     0.124622     0.152100
       5.8     0.121010     0.149094
       5.9     0.117760     0.146387
       6.0     0.114729     0.143841
       6.1     0.112136     0.141625
       6.2     0.109890     0.139647
       6.3     0.107982     0.137887
       6.4     0.106388     0.136314
       6.5     0.105097     0.134908
       6.6     0.104083     0.133642
       6.7     0.103326     0.132491
       6.8     0.102807     0.131434
       6.9     0.102496     0.130445
       7.0     0.102373     0.129506
       7.1     0.102407     0.128593
       7.2     0.102574     0.127687
       7.3     0.102848     0.126770
       7.4     0.103201     0.125823
       7.5     0.103608     0.124831
       7.6     0.104043     0.123779
       7.7     0.104483     0.122654
       7.8     0.104906     0.121444
       7.9     0.105292     0.120142
       8.0     0.105620     0.118737
       8.1     0.105876     0.117229
       8.2     0.106046     0.115612
       8.3     0.106116     0.113885
       8.4     0.106079     0.112051
       8.5     0.105926     0.110108
       8.6     0.105653     0.108064
       8.7     0.105259     0.105921
       8.8     0.104740     0.103684
       8.9     0.104103     0.101363
       9.0     0.103345     0.098964
       9.1     0.102477     0.096498
       9.2     0.101502     0.093977
       9.3     0.100428     0.091411
       9.4     0.099265     0.088816
       9.5     0.098021     0.086204
       9.6     0.096706     0.083590
       9.7     0.095330     0.080987
       9.8     0.093903     0.078408
       9.9     0.092435     0.075864
      10.0     0.090935     0.073369
      10.1     0.089413     0.070931
      10.2     0.087877     0.068561
      10.3     0.086335     0.066270
      10.4     0.084792     0.064064
      10.5     0.083256     0.061954
      10.6     0.081731     0.059945
      10.7     0.080222     0.058043
      10.8     0.078731     0.056255
      10.9     0.077260     0.054582
      11.0     0.075811     0.053031
      11.1     0.074384     0.051600
      11.2     0.072980     0.050290
      11.3     0.071596     0.049103
      11.4     0.070232     0.048036
      11.5     0.068886     0.047090
      11.6     0.067554     0.046260
      11.7     0.066234     0.045542
      11.8     0.064922     0.044936
      11.9     0.063616     0.044434
      12.0     0.062311     0.044033
      12.1     0.061004     0.043726
      12.2     0.059692     0.043507
      12.3     0.058372     0.043372
      12.4     0.057040     0.043311
      12.5     0.055694     0.043320
      12.6     0.054332     0.043392
      12.7     0.052952     0.043518
      12.8     0.051554     0.043693
      12.9     0.050137     0.043909
      13.0     0.048702     0.044160
      13.1     0.047251     0.044438
      13.2     0.045784     0.044738
      13.3     0.044306     0.045052
      13.4     0.042821     0.045375
      13.5     0.041333     0.045702
      13.6     0.039847     0.046026
      13.7     0.038370     0.046344
      13.8     0.036908     0.046651
      13.9     0.035469     0.046942
